,timestamp,count,provider
7133,1586946790.0,0,azure
7134,1586947690.0,0,azure
7135,1586948590.0,0,azure
7136,1586949490.0,0,azure
7137,1586950390.0,1,azure
7138,1586951290.0,2,azure
7139,1586952190.0,0,azure
7140,1586953090.0,1,azure
7141,1586953990.0,1,azure
7142,1586954890.0,1,azure
7143,1586955790.0,4,azure
7144,1586956690.0,1,azure
7145,1586957590.0,2,azure
7146,1586958490.0,0,azure
7147,1586959390.0,2,azure
7148,1586960290.0,5,azure
7149,1586961190.0,3,azure
7150,1586962090.0,0,azure
7151,1586962990.0,1,azure
7152,1586963890.0,2,azure
7153,1586964790.0,9,azure
7154,1586965690.0,6,azure
7155,1586966590.0,5,azure
7156,1586967490.0,2,azure
7157,1586968390.0,5,azure
7158,1586969290.0,1,azure
7159,1586970190.0,0,azure
7160,1586971090.0,2,azure
7161,1586971990.0,4,azure
7162,1586972890.0,2,azure
7163,1586973790.0,0,azure
7164,1586974690.0,1,azure
7165,1586975590.0,53,azure
7166,1586976490.0,46,azure
7167,1586977390.0,10,azure
7168,1586978290.0,1,azure
7169,1586979190.0,2,azure
7170,1586980090.0,1,azure
7171,1586980990.0,0,azure
7172,1586981890.0,2,azure
7173,1586982790.0,1,azure
7174,1586983690.0,2,azure
7175,1586984590.0,1,azure
7176,1586985490.0,1,azure
7177,1586986390.0,0,azure
7178,1586987290.0,0,azure
7179,1586988190.0,3,azure
7180,1586989090.0,26,azure
7181,1586989990.0,64,azure
7182,1586990890.0,5,azure
7183,1586991790.0,4,azure
7184,1586992690.0,4,azure
7185,1586993590.0,1,azure
7186,1586994490.0,1,azure
7187,1586995390.0,1,azure
7188,1586996290.0,0,azure
7189,1586997190.0,2,azure
7190,1586998090.0,0,azure
7191,1586998990.0,1,azure
7192,1586999890.0,1,azure
7193,1587000790.0,1,azure
7194,1587001690.0,1,azure
7195,1587002590.0,0,azure
7196,1587003490.0,1,azure
7197,1587004390.0,1,azure
7198,1587005290.0,0,azure
7199,1587006190.0,1,azure
7200,1587007090.0,1,azure
7201,1587007990.0,0,azure
7202,1587008890.0,0,azure
7203,1587009790.0,2,azure
7204,1587010690.0,1,azure
7205,1587011590.0,0,azure
7206,1587012490.0,0,azure
7207,1587013390.0,1,azure
7208,1587014290.0,0,azure
7209,1587015190.0,1,azure
7210,1587016090.0,0,azure
7211,1587016990.0,0,azure
7212,1587017890.0,0,azure
7213,1587647948.0,2,aws
7214,1587648848.0,3,aws
7215,1587649748.0,1,aws
7216,1587650648.0,3,aws
7217,1587651548.0,2,aws
7218,1587652448.0,4,aws
7219,1587653348.0,6,aws
7220,1587654248.0,3,aws
7221,1587655148.0,1,aws
7222,1587656048.0,1,aws
7223,1587656948.0,3,aws
7224,1587657848.0,3,aws
7225,1587658748.0,6,aws
7226,1587659648.0,1,aws
7227,1587660548.0,1,aws
7228,1587661448.0,5,aws
7229,1587662348.0,1,aws
7230,1587663248.0,1,aws
7231,1587664148.0,3,aws
7232,1587665048.0,3,aws
7233,1587665948.0,1,aws
7234,1587666848.0,2,aws
7235,1587667748.0,5,aws
7236,1587668648.0,3,aws
